시도별/년월,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01
서울,59,50,61,49,56,51,33,32,25,41,71,62,44,75,65,56,72,44,28,27,29,42,38,46,60,50,46,51,52,40,28,22,27,33,42,41,64,45,55,52,55,40,34,35,28,29,42,55,57
부산,47,44,64,50,56,46,41,42,38,41,60,55,38,57,58,56,76,52,41,35,33,43,41,41,45,46,47,53,58,38,40,34,35,42,47,36,56,47,66,49,62,47,47,47,33,38,43,47,57
대구,56,49,69,47,55,47,36,38,36,43,70,67,41,65,58,51,66,46,35,32,32,44,47,43,51,49,48,50,49,37,34,27,31,43,48,43,65,50,60,45,52,44,32,39,31,35,42,48,60
인천,64,54,67,55,62,57,37,37,34,51,78,67,48,79,71,63,84,50,36,36,40,54,49,50,63,56,55,57,64,45,30,28,35,40,49,46,63,50,58,59,60,48,39,40,35,36,46,55,58
광주,46,39,65,42,62,39,27,28,29,42,70,54,34,60,55,54,67,45,28,27,30,40,38,35,45,40,45,45,56,35,24,22,32,39,43,31,52,40,59,46,57,42,33,32,33,32,39,42,52
대전,48,39,52,41,52,40,26,27,28,40,71,57,39,63,59,52,67,43,28,25,28,42,40,43,51,45,46,49,53,37,27,19,28,33,44,38,58,47,54,48,53,40,28,28,29,30,39,46,56
울산,46,44,60,47,54,50,39,40,36,39,62,55,39,59,63,59,75,55,42,35,35,46,45,41,48,47,49,59,60,40,49,36,36,44,45,34,54,46,64,46,59,49,44,49,32,36,41,45,55
수원,59,48,62,52,63,55,32,33,29,45,78,66,48,81,71,62,76,50,34,33,36,50,44,49,61,53,54,54,59,43,31,25,34,39,50,47,69,51,63,59,61,47,37,40,34,35,49,59,65
안양,61,53,68,58,66,64,44,44,36,51,83,67,49,82,74,66,82,58,43,38,35,49,44,47,57,51,51,53,58,46,36,29,35,41,46,42,59,47,60,62,64,49,40,43,36,35,47,56,59
성남,66,54,65,53,60,58,38,39,30,46,77,67,45,78,68,60,72,49,34,32,33,45,41,48,60,52,51,56,55,45,32,26,32,36,45,45,62,47,57,55,58,45,40,42,35,34,47,57,61
의정부,76,60,69,59,65,61,43,43,35,57,81,73,58,82,75,61,71,46,33,32,33,43,38,45,56,54,46,46,45,39,31,26,29,33,41,41,59,40,59,58,66,45,45,44,37,38,55,64,68
광명,69,57,67,55,62,53,32,33,29,46,82,75,51,84,77,64,85,51,33,31,34,50,45,51,66,55,53,55,59,46,30,26,33,39,49,47,70,51,61,59,64,51,42,44,37,37,54,68,66
안산,59,51,60,53,60,56,36,37,34,48,82,71,52,89,74,64,79,51,36,35,37,52,46,49,64,54,54,51,60,44,32,27,37,40,50,47,69,53,60,59,61,51,41,43,35,35,48,60,65
평택,66,54,72,67,77,78,48,44,42,62,94,73,56,92,78,77,87,64,39,38,40,60,53,55,65,55,66,65,83,63,38,30,48,54,63,59,87,62,79,80,87,80,55,51,43,46,57,66,73
과천,73,62,66,53,62,59,40,37,28,42,72,69,51,88,68,62,79,51,31,31,32,45,41,52,65,55,53,55,56,47,30,25,32,37,49,48,71,51,64,59,61,47,39,40,31,31,45,59,63
구리,58,47,58,49,56,53,38,35,28,46,75,61,45,76,71,66,80,52,31,33,35,43,39,43,48,41,42,54,56,50,35,29,36,41,49,47,64,46,62,57,68,44,39,40,32,35,53,62,62
의왕,70,61,72,60,76,73,43,42,37,54,82,70,52,81,77,70,82,60,40,35,37,50,41,50,64,64,58,61,63,50,35,28,38,43,51,49,67,52,65,62,68,55,46,46,38,39,52,60,65
고양,72,60,72,59,72,63,45,39,34,56,85,73,55,90,83,74,85,62,42,40,40,56,50,54,68,62,59,67,67,52,35,30,37,43,55,58,76,58,67,70,75,54,44,44,38,40,52,67,68
광주,77,62,72,62,66,57,39,38,33,52,95,76,64,97,82,76,77,51,28,27,28,42,44,56,66,55,51,55,51,42,31,23,29,39,53,53,73,49,66,60,60,43,35,37,29,32,51,62,71
군포,70,59,66,57,68,75,49,46,39,52,88,75,49,86,77,68,78,60,46,38,39,50,43,48,58,52,57,61,68,53,38,30,38,42,51,47,68,50,66,65,68,57,48,48,37,35,50,59,64
시흥,67,59,71,58,63,59,36,36,35,54,89,77,55,94,76,70,91,50,36,37,39,56,49,52,69,57,56,56,65,44,33,29,38,44,56,54,75,55,64,61,63,50,39,42,36,38,54,66,72
부천,82,66,75,65,73,68,46,40,33,53,85,74,55,93,83,71,90,59,37,36,38,55,51,55,68,65,58,59,66,50,35,31,37,43,57,52,73,57,70,71,72,59,46,50,41,42,57,69,72
남양주,60,47,48,41,56,59,46,35,26,41,78,68,54,80,74,63,75,46,30,29,30,44,41,57,67,56,51,56,53,42,30,21,27,35,47,46,66,47,63,56,59,40,38,38,28,30,46,65,64
용인,69,53,61,52,59,51,33,31,27,44,80,73,51,83,74,65,77,52,33,32,36,52,47,55,68,58,58,60,64,50,36,29,38,43,55,55,77,55,71,67,66,50,40,43,36,40,54,70,76
김포,72,56,70,60,73,69,52,43,38,56,80,69,54,83,80,75,92,63,45,40,39,55,53,55,71,61,57,62,70,52,37,32,38,43,50,45,68,52,62,66,68,54,43,46,38,37,54,65,69
오산,79,65,67,68,76,79,55,51,42,53,84,80,67,103,74,74,75,73,43,33,37,52,46,51,64,56,61,60,70,56,45,35,43,42,49,45,64,47,63,61,66,49,41,45,38,44,56,62,71
하남,63,52,55,48,56,59,46,44,29,46,72,66,55,85,64,70,59,42,25,23,22,35,39,54,69,56,50,54,48,31,22,17,23,28,36,34,48,34,44,41,47,40,31,30,23,24,30,69,64
화성,68,56,69,58,70,66,40,39,40,55,84,65,51,86,77,71,79,57,37,34,37,51,44,53,61,52,55,55,66,51,38,31,40,44,56,51,71,55,69,67,71,61,44,50,44,44,50,59,64
양주,80,61,67,56,61,56,43,41,40,68,96,77,73,87,76,70,81,61,45,49,57,83,75,103,130,101,65,78,80,59,43,35,51,65,80,87,124,76,84,80,82,63,52,57,54,57,60,84,75
동두천,94,70,73,70,74,71,49,48,38,76,111,92,110,106,96,82,84,58,45,43,48,73,68,86,96,82,68,78,76,58,44,32,35,44,57,70,98,66,72,69,77,57,59,53,40,41,55,85,77
안성,61,47,65,56,65,59,36,35,27,46,84,70,58,89,72,76,85,63,35,33,37,50,47,54,77,61,70,70,75,55,30,24,38,45,57,59,93,67,80,79,77,60,42,42,40,43,56,69,79
이천,93,65,78,75,83,76,54,55,44,63,95,77,63,97,78,75,83,69,51,42,47,65,61,65,79,72,68,75,76,65,52,37,42,49,55,59,83,63,82,75,76,67,57,54,42,50,66,85,92
파주,65,58,83,65,75,63,45,44,37,57,88,72,61,82,88,75,93,52,36,35,43,59,54,57,70,66,61,67,74,53,37,34,42,52,58,53,75,55,69,68,73,53,45,48,40,44,57,69,71
포천,111,86,90,78,84,81,58,47,44,76,123,106,116,127,103,92,100,74,54,57,62,93,87,115,133,117,101,104,97,,,,,58,76,80,108,70,77,70,73,55,50,54,50,58,76,105,87
여주,0,0,0,0,0,0,0,0,0,0,0,0,65,103,84,76,83,59,35,33,38,59,56,68,84,70,68,72,74,56,41,26,41,57,75,74,101,75,91,80,81,63,49,48,41,48,65,91,96
연천,0,0,0,0,0,0,0,0,0,0,0,0,62,74,72,61,69,34,27,25,32,49,48,58,73,62,53,55,56,37,26,20,25,37,52,49,84,58,69,66,66,45,37,35,28,33,52,73,68
가평,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,54,60,36,23,18,22,36,39,52,61,58,51,52,45,28,30,20,24,33,51,60,77,61,70,58,58,39,40,48,28,32,52,70,67
